outcome,term,beta,se,ci_low,ci_high,p,n,r2
hba1c,sugar_pct,0.0017427073252841083,0.014542776639704049,-0.026761134888535827,0.030246549539104044,0.9046152890658258,5227,0.16315974585126447
hba1c,fiber_density,0.03440982453705408,0.014495365447688069,0.005998908259585465,0.0628207408145227,0.01760369611157817,5227,0.16315974585126447
hba1c,fat_pct,0.002857906557454281,0.016496996880010783,-0.02947620732736685,0.035192020442275415,0.8624643644594434,5227,0.16315974585126447
hba1c,age,0.30872235074198323,0.015228272727897767,0.2788749361953036,0.33856976528866284,2.2278626662184456e-91,5227,0.16315974585126447
hba1c,sex_female,0.0,0.0,0.0,0.0,,5227,0.16315974585126447
hba1c,bmi,0.17426823540419922,0.017960580103269733,0.13906549840179055,0.2094709724066079,2.9328498224940304e-22,5227,0.16315974585126447
hdl,fat_pct,0.6045568968851908,0.37657293871990316,-0.13352606300581937,1.3426398567762008,0.10840189085053582,5227,0.12307886770180887
hdl,fiber_density,0.9202450945126759,0.332857273538173,0.2678448383778568,1.572645350647495,0.005697800658493494,5227,0.12307886770180887
hdl,sugar_pct,-1.3566606476665295,0.35440193371884743,-2.0512884377554705,-0.6620328575775886,0.00012917388340004244,5227,0.12307886770180887
hdl,age,2.11330099323647,0.2969592726638366,1.5312608188153505,2.69534116765759,1.1072832337845266e-12,5227,0.12307886770180887
hdl,sex_female,0.0,0.0,0.0,0.0,,5227,0.12307886770180887
hdl,bmi,-4.909778768118968,0.2887442468847476,-5.475717492013073,-4.343840044224862,7.683171816190684e-65,5227,0.12307886770180887
hscrp,fiber_density,-0.05598136458119322,0.019724168874453416,-0.09464073557512191,-0.017321993587264523,0.004536709865573725,5227,0.2763387987342487
hscrp,age,0.13958371678939874,0.021271974902831888,0.09789064597984823,0.18127678759894925,5.314077207087977e-11,5227,0.2763387987342487
hscrp,sex_female,0.0,0.0,0.0,0.0,,5227,0.2763387987342487
hscrp,bmi,0.5681038454873973,0.02194299583069031,0.5250955736592443,0.6111121173155504,8.634651236474723e-148,5227,0.2763387987342487
